TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA
actividad	id	int	NO	NULL	PRI	auto_increment
actividad	nombre	varchar(160)	NO	NULL		
actividad	descripcion	text	YES	NULL		
actividad	nivel	tinyint unsigned	NO	1		
actividad	impacto	varchar(30)	YES	NULL		
actividad	activa	tinyint(1)	NO	1		
actividad	id_tipo_actividad	int	NO	1	MUL	
adulto_alergia	id_adulto	int	NO	NULL	PRI	
adulto_alergia	id_alergia	int	NO	NULL	PRI	
adulto_alergia	observaciones	varchar(255)	YES	NULL		
adulto_antecedente	id_adulto	int	NO	NULL	PRI	
adulto_antecedente	id_antecedente	int	NO	NULL	PRI	
adulto_antecedente	observaciones	varchar(255)	YES	NULL		
adulto_dificultad	id_adulto	int	NO	NULL	PRI	
adulto_dificultad	id_dificultad	int	NO	NULL	PRI	
adulto_dificultad	nivel	varchar(50)	YES	NULL		
adulto_habito	id_adulto	int	NO	NULL	PRI	
adulto_habito	id_habito	int	NO	NULL	PRI	
adulto_habito	frecuencia	varchar(80)	YES	NULL		
adulto_mayor	id	int	NO	NULL	PRI	auto_increment
adulto_mayor	id_usuario	int	NO	NULL	UNI	
adulto_mayor	fecha_nacimiento	date	YES	NULL		
adulto_mayor	descripcion_movilidad	text	YES	NULL		
adulto_mayor	perfil_medico	text	YES	NULL		
adulto_mayor	descripcion_habitos	text	YES	NULL		
adulto_mayor	imc	decimal(5,2)	YES	NULL		
alergia	id	int	NO	NULL	PRI	auto_increment
alergia	nombre	varchar(120)	NO	NULL	UNI	
alergia	descripcion	text	YES	NULL		
antecedente_medico	id	int	NO	NULL	PRI	auto_increment
antecedente_medico	nombre	varchar(150)	NO	NULL	UNI	
antecedente_medico	descripcion	text	YES	NULL		
auditoria	id	int	NO	NULL	PRI	auto_increment
auditoria	accion	varchar(100)	NO	NULL		
auditoria	detalle	text	YES	NULL		
auditoria	id_admin	int	YES	NULL	MUL	
auditoria	fecha_hora	datetime	NO	CURRENT_TIMESTAMP	MUL	DEFAULT_GENERATED
contacto_emergencia	id	int	NO	NULL	PRI	auto_increment
contacto_emergencia	id_adulto	int	NO	NULL	MUL	
contacto_emergencia	nombre	varchar(150)	NO	NULL		
contacto_emergencia	telefono	varchar(20)	NO	NULL		
contacto_emergencia	relacion	varchar(80)	YES	NULL		
cuidador	id	int	NO	NULL	PRI	auto_increment
cuidador	id_usuario	int	NO	NULL	UNI	
cuidador	cedula_medica	varchar(80)	YES	NULL	UNI	
cuidador	especialidad	varchar(120)	YES	NULL		
