TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY
actividad	id	int	NO	PRI
actividad	nombre	varchar(160)	NO	
actividad	descripcion	text	YES	
actividad	nivel	tinyint unsigned	NO	
actividad	impacto	varchar(30)	YES	
actividad	activa	tinyint(1)	NO	
actividad	id_tipo_actividad	int	NO	MUL
adulto_alergia	id_adulto	int	NO	PRI
adulto_alergia	id_alergia	int	NO	PRI
adulto_alergia	observaciones	varchar(255)	YES	
adulto_antecedente	id_adulto	int	NO	PRI
adulto_antecedente	id_antecedente	int	NO	PRI
adulto_antecedente	observaciones	varchar(255)	YES	
adulto_dificultad	id_adulto	int	NO	PRI
adulto_dificultad	id_dificultad	int	NO	PRI
adulto_dificultad	nivel	varchar(50)	YES	
adulto_habito	id_adulto	int	NO	PRI
adulto_habito	id_habito	int	NO	PRI
adulto_habito	frecuencia	varchar(80)	YES	
adulto_mayor	id	int	NO	PRI
adulto_mayor	id_usuario	int	NO	UNI
adulto_mayor	fecha_nacimiento	date	YES	
adulto_mayor	descripcion_movilidad	text	YES	
adulto_mayor	perfil_medico	text	YES	
adulto_mayor	descripcion_habitos	text	YES	
adulto_mayor	imc	decimal(5,2)	YES	
alergia	id	int	NO	PRI
alergia	nombre	varchar(120)	NO	UNI
alergia	descripcion	text	YES	
antecedente_medico	id	int	NO	PRI
antecedente_medico	nombre	varchar(150)	NO	UNI
antecedente_medico	descripcion	text	YES	
auditoria	id	int	NO	PRI
auditoria	accion	varchar(100)	NO	
auditoria	detalle	text	YES	
auditoria	id_admin	int	YES	MUL
auditoria	fecha_hora	datetime	NO	MUL
contacto_emergencia	id	int	NO	PRI
contacto_emergencia	id_adulto	int	NO	MUL
contacto_emergencia	nombre	varchar(150)	NO	
contacto_emergencia	telefono	varchar(20)	NO	
contacto_emergencia	relacion	varchar(80)	YES	
cuidador	id	int	NO	PRI
cuidador	id_usuario	int	NO	UNI
cuidador	cedula_medica	varchar(80)	YES	UNI
cuidador	especialidad	varchar(120)	YES	
cuidador	id_tipo_cuidador	int	YES	MUL
dieta_adulto	id	int	NO	PRI
dieta_adulto	id_adulto	int	NO	MUL
dieta_adulto	tipo_dieta	varchar(100)	YES	
dieta_adulto	descripcion	text	YES	
dieta_adulto	fecha_inicio	date	YES	
dieta_adulto	fecha_fin	date	YES	
dieta_adulto	activa	tinyint(1)	NO	
dificultad_cognitiva	id	int	NO	PRI
dificultad_cognitiva	nombre	varchar(120)	NO	UNI
dificultad_cognitiva	descripcion	text	YES	
estado_toma	id_estado	int	NO	PRI
estado_toma	nombre	varchar(50)	NO	UNI
estado_toma	descripcion	text	YES	
familiar	id	int	NO	PRI
familiar	id_usuario	int	NO	UNI
habito	id	int	NO	PRI
habito	nombre	varchar(120)	NO	UNI
habito	descripcion	text	YES	
habito	categoria	varchar(60)	YES	
logro	id	int	NO	PRI
logro	codigo	varchar(50)	NO	UNI
logro	nombre	varchar(120)	NO	
logro	descripcion	text	YES	
logro	puntos	int	NO	
logros_usuario	id	int	NO	PRI
logros_usuario	id_usuario	int	NO	UNI
logros_usuario	desbloqueado_en	datetime	NO	
logros_usuario	id_logro	int	NO	
