TABLE_NAME	CONSTRAINT_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
actividad	fk_actividad_tipo	id_tipo_actividad	tipo_actividad	id_tipo_actividad
adulto_alergia	fk_adulto_alergia_adulto	id_adulto	adulto_mayor	id
adulto_alergia	fk_adulto_alergia_alergia	id_alergia	alergia	id
adulto_antecedente	fk_adulto_antecedente_adulto	id_adulto	adulto_mayor	id
adulto_antecedente	fk_adulto_antecedente_antecedente	id_antecedente	antecedente_medico	id
adulto_dificultad	fk_adulto_dificultad_adulto	id_adulto	adulto_mayor	id
adulto_dificultad	fk_adulto_dificultad_dificultad	id_dificultad	dificultad_cognitiva	id
adulto_habito	fk_adulto_habito_adulto	id_adulto	adulto_mayor	id
adulto_habito	fk_adulto_habito_habito	id_habito	habito	id
adulto_mayor	fk_adulto_usuario	id_usuario	usuarios	id
auditoria	fk_auditoria_admin	id_admin	usuarios	id
contacto_emergencia	fk_contacto_adulto	id_adulto	adulto_mayor	id
cuidador	fk_cuidador_tipo	id_tipo_cuidador	tipo_cuidador	id_tipo_cuidador
cuidador	fk_cuidador_usuario	id_usuario	usuarios	id
dieta_adulto	fk_dieta_adulto	id_adulto	adulto_mayor	id
familiar	fk_familiar_usuario	id_usuario	usuarios	id
logros_usuario	fk_logro_usuario	id_usuario	usuarios	id
metrica_biometrica	fk_metrica_adulto	id_adulto	adulto_mayor	id
notificacion	fk_notificacion_registro_toma	id_registro_toma	registro_toma	id
notificacion	fk_notificacion_usuario	id_usuario	usuarios	id
preferencias_usuario	fk_preferencias_usuario	id_usuario	usuarios	id
progreso	fk_progreso_usuario	id_usuario	usuarios	id
publicaciones	fk_publicaciones_autor	id_autor	usuarios	id
registro_actividad	fk_registro_actividad_actividad	id_actividad	actividad	id
registro_actividad	fk_registro_actividad_usuario	id_usuario	usuarios	id
registro_sueno	fk_registro_sueno_adulto	id_adulto	adulto_mayor	id
registro_toma	fk_registro_toma_estado	id_estado	estado_toma	id_estado
registro_toma	fk_registro_toma_tratamiento	id_tratamiento	tratamiento	id
relaciones_familiar	fk_relacion_adulto	id_adulto	adulto_mayor	id
relaciones_familiar	fk_relacion_familiar	id_familiar	familiar	id
sesiones_uso	fk_sesiones_uso_usuario	id_usuario	usuarios	id
tiempos_actividad	fk_tiempos_actividad_usuario	id_usuario	usuarios	id
tratamiento	fk_tratamiento_adulto	id_adulto	adulto_mayor	id
tratamiento	fk_tratamiento_cuidador	id_cuidador	cuidador	id
tratamiento	fk_tratamiento_medicamento	id_medicamento	medicamento	id
