TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE	SEQ_IN_INDEX
actividad	fk_actividad_tipo	id_tipo_actividad	1	1
actividad	PRIMARY	id	0	1
adulto_alergia	fk_adulto_alergia_alergia	id_alergia	1	1
adulto_alergia	PRIMARY	id_adulto	0	1
adulto_alergia	PRIMARY	id_alergia	0	2
adulto_antecedente	fk_adulto_antecedente_antecedente	id_antecedente	1	1
adulto_antecedente	PRIMARY	id_adulto	0	1
adulto_antecedente	PRIMARY	id_antecedente	0	2
adulto_dificultad	fk_adulto_dificultad_dificultad	id_dificultad	1	1
adulto_dificultad	PRIMARY	id_adulto	0	1
adulto_dificultad	PRIMARY	id_dificultad	0	2
adulto_habito	fk_adulto_habito_habito	id_habito	1	1
adulto_habito	PRIMARY	id_adulto	0	1
adulto_habito	PRIMARY	id_habito	0	2
adulto_mayor	PRIMARY	id	0	1
adulto_mayor	uk_adulto_usuario	id_usuario	0	1
alergia	PRIMARY	id	0	1
alergia	uk_alergia_nombre	nombre	0	1
antecedente_medico	PRIMARY	id	0	1
antecedente_medico	uk_antecedente_nombre	nombre	0	1
auditoria	fk_auditoria_admin	id_admin	1	1
auditoria	idx_auditoria_fecha	fecha_hora	1	1
auditoria	PRIMARY	id	0	1
contacto_emergencia	fk_contacto_adulto	id_adulto	1	1
contacto_emergencia	PRIMARY	id	0	1
cuidador	fk_cuidador_tipo	id_tipo_cuidador	1	1
cuidador	PRIMARY	id	0	1
cuidador	uk_cuidador_cedula	cedula_medica	0	1
cuidador	uk_cuidador_usuario	id_usuario	0	1
dieta_adulto	idx_dieta_adulto	id_adulto	1	1
dieta_adulto	idx_dieta_adulto	activa	1	2
dieta_adulto	PRIMARY	id	0	1
dificultad_cognitiva	PRIMARY	id	0	1
dificultad_cognitiva	uk_dificultad_nombre	nombre	0	1
estado_toma	PRIMARY	id_estado	0	1
estado_toma	uk_estado_toma_nombre	nombre	0	1
familiar	PRIMARY	id	0	1
familiar	uk_familiar_usuario	id_usuario	0	1
habito	PRIMARY	id	0	1
habito	uk_habito_nombre	nombre	0	1
logro	PRIMARY	id	0	1
logro	uk_logro_codigo	codigo	0	1
logros_usuario	PRIMARY	id	0	1
logros_usuario	uk_usuario_logro	id_usuario	0	1
medicamento	PRIMARY	id	0	1
medicamento	uk_medicamento_nombre_presentacion	nombre	0	1
medicamento	uk_medicamento_nombre_presentacion	presentacion	0	2
metrica_biometrica	idx_metrica_adulto_fecha	id_adulto	1	1
metrica_biometrica	idx_metrica_adulto_fecha	fecha_hora	1	2
metrica_biometrica	PRIMARY	id	0	1
notificacion	fk_notificacion_registro_toma	id_registro_toma	1	1
notificacion	idx_notificacion_usuario_estado	id_usuario	1	1
notificacion	idx_notificacion_usuario_estado	estado	1	2
notificacion	PRIMARY	id	0	1
preferencias_usuario	PRIMARY	id_usuario	0	1
progreso	PRIMARY	id_usuario	0	1
publicaciones	fk_publicaciones_autor	id_autor	1	1
publicaciones	idx_publicaciones_estado_fecha	estado	1	1
publicaciones	idx_publicaciones_estado_fecha	fecha_hora	1	2
publicaciones	PRIMARY	id	0	1
registro_actividad	fk_registro_actividad_actividad	id_actividad	1	1
registro_actividad	idx_registro_actividad_usuario_fecha	id_usuario	1	1
registro_actividad	idx_registro_actividad_usuario_fecha	fecha	1	2
registro_actividad	PRIMARY	id	0	1
registro_sueno	idx_registro_sueno_adulto_fecha	id_adulto	1	1
registro_sueno	idx_registro_sueno_adulto_fecha	fecha	1	2
registro_sueno	PRIMARY	id	0	1
registro_toma	fk_registro_toma_estado	id_estado	1	1
registro_toma	idx_registro_toma_tratamiento_fecha	id_tratamiento	1	1
registro_toma	idx_registro_toma_tratamiento_fecha	fecha_hora	1	2
registro_toma	PRIMARY	id	0	1
relaciones_familiar	idx_relacion_adulto	id_adulto	1	1
relaciones_familiar	PRIMARY	id	0	1
relaciones_familiar	uk_familiar_adulto	id_familiar	0	1
relaciones_familiar	uk_familiar_adulto	id_adulto	0	2
sesiones_uso	idx_sesiones_uso_usuario_inicio	id_usuario	1	1
sesiones_uso	idx_sesiones_uso_usuario_inicio	inicio	1	2
sesiones_uso	PRIMARY	id	0	1
tiempos_actividad	idx_tiempos_actividad_usuario_fecha	id_usuario	1	1
tiempos_actividad	idx_tiempos_actividad_usuario_fecha	fecha_hora	1	2
tiempos_actividad	PRIMARY	id	0	1
tipo_actividad	PRIMARY	id_tipo_actividad	0	1
tipo_actividad	uk_tipo_actividad_nombre	nombre	0	1
tipo_cuidador	PRIMARY	id_tipo_cuidador	0	1
tipo_cuidador	uk_tipo_cuidador_nombre	nombre	0	1
tratamiento	fk_tratamiento_cuidador	id_cuidador	1	1
tratamiento	fk_tratamiento_medicamento	id_medicamento	1	1
tratamiento	idx_tratamiento_adulto_activo	id_adulto	1	1
tratamiento	idx_tratamiento_adulto_activo	activo	1	2
tratamiento	PRIMARY	id	0	1
usuarios	idx_usuarios_rol	rol	1	1
usuarios	PRIMARY	id	0	1
usuarios	uk_usuarios_correo	correo	0	1
